"Gene" "GATAdSY" "GATAdNS" "CG11504SY" "CG11504NS" "Cf2.IISY" "Cf2.IINS" "jimSY" "jimNS" "MitfSY" "MitfNS" "CG5953SY" "CG5953NS" "MadSY" "MadNS" "TrlSY" "TrlNS" "CG3407SY" "CG3407NS" "CG12236.PBSY" "CG12236.PBNS" "HLHmbetaSY" "HLHmbetaNS" "jigr1SY" "jigr1NS" "Deaf1SY" "Deaf1NS" "MedSY" "MedNS" "lolaSY" "lolaNS" "HgtxSY" "HgtxNS" "MetSY" "MetNS" "Aef1SY" "Aef1NS" "netSY" "netNS" "CG3838SY" "CG3838NS" "ExdSY" "ExdNS" "ttk.PFSY" "ttk.PFNS" "CG15601SY" "CG15601NS" "Lag1SY" "Lag1NS" "aseSY" "aseNS" "atoSY" "atoNS" "D19ASY" "D19ANS" "srpSY" "srpNS" "ftz.f1SY" "ftz.f1NS" "brSY" "brNS" "ClkSY" "ClkNS" "lunaSY" "lunaNS" "brkSY" "brkNS" "catoSY" "catoNS" "tgoSY" "tgoNS" "Hr78SY" "Hr78NS" "HandSY" "HandNS" "Fer3SY" "Fer3NS" "AchiSY" "AchiNS" "br.Z4SY" "br.Z4NS" "pnrSY" "pnrNS" "br.Z2SY" "br.Z2NS" "CG9437SY" "CG9437NS" "br.Z1SY" "br.Z1NS" "Eip74EFSY" "Eip74EFNS" "OliSY" "OliNS" "Xrp1SY" "Xrp1NS" "deiSY" "deiNS" "zSY" "zNS" "CtSY" "CtNS" "MioSY" "MioNS" "apSY" "apNS" "EcRSY" "EcRNS" "br.PLSY" "br.PLNS" "lola.PASY" "lola.PANS" "lola.PCSY" "lola.PCNS" "lola.PDSY" "lola.PDNS" "foxoSY" "foxoNS" "Cf2.PASY" "Cf2.PANS" "MaxSY" "MaxNS" "lola.PJSY" "lola.PJNS" "lola.PLSY" "lola.PLNS" "br.PASY" "br.PANS" "lola.POSY" "lola.PONS" "lola.PQSY" "lola.PQNS" "lola.PTSY" "lola.PTNS" "lola.PUSY" "lola.PUNS" "lola.PWSY" "lola.PWNS" "lola.PYSY" "lola.PYNS" "panSY" "panNS" "sqzSY" "sqzNS" "Adf1SY" "Adf1NS" "br.Z3SY" "br.Z3NS" "l.1.scSY" "l.1.scNS" "Cf2.PBSY" "Cf2.PBNS" "kaySY" "kayNS" "CG11294SY" "CG11294NS" "exdSY" "exdNS" "lola.PGSY" "lola.PGNS" "ApSY" "ApNS" "scSY" "scNS" "sdSY" "sdNS" "Length" "Set"
"11" "Ahcy13" 0.333 0 0 0 2.667 0 0 0 0 0 0.333 0 0.333 0 0.667 0 0.333 0 1 0 0 0 0 0 2.333 1.333 0 0 0 0 1.333 0 0.333 0 0.333 0 0 0 0 0 0.333 0 0.333 0 0 0 0 0 0 0 0.667 0 0 0 0.667 0 0 0 0.333 0 0 0 0 0 0.667 0 0 0 0 0 0 0 0 0 0 0 0 0 3.333 0.667 0.333 0 2.333 0.333 0 0 0.333 0 0 0 0 0 0 0 0 0 0 0 0.333 1 0 0 4.333 1.333 0 0 0 0 0.667 0.333 0 0 0 0 1 0 0.333 0 0 0 0.333 0 0 0.333 0.667 0 0.667 0 0 0 0 0 0 0 0.333 0 0 0.333 1.333 0 0 0 0 0 1.333 0.333 0 0 0.667 0 0 0 0.333 0 7.333 1.333 0 0 0.667 0 0 0 0 0 3 "RNAseq"
"12" "AIF" 0 0 0.4 0 0.8 0.2 0.4 0 0 0 0.2 0 0.2 0.2 0.2 0 0 0 1.4 0 0 0 0.2 0 1.8 0.8 0 0 0.2 0 0.4 0 0 0 2.4 0.6 0 0 0.2 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0.2 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0.6 0.2 4.4 0.2 0.4 0 0.2 0.4 0 0 0.6 0.2 0 0 0 0 0 0 0.6 0 0 0 1 0.2 0 0 6.6 0.2 0.2 0 0.4 0 0.4 0 0.2 0 0 0 0.2 0 0.4 0 0 0 0 0 0 0 0.4 0 0 0 0.4 0 0 0 0 0 0 0 0.2 0 0.6 0 0.2 0 0.4 0 0.4 0.6 0 0 0 0 0 0 0 0 3.8 0.6 0 0 0.6 0 0 0 0.2 0 5 "RNAseq"
"14" "Aldh" 0 0 0 0 1 0.5 6 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 1 0 2 0 0 0 0.5 0 1.5 0 0 0 1.5 0.5 0 0 0.5 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 1 0.5 0 0 0 0 0 0 0 0 1 0 0 0 6.5 0 0.5 0 1 1.5 0.5 0 1 0 0 0 0 0 0 0 0 0 0 0 0.5 1 1 0 7 2 0 0 0.5 0.5 1 0 1 0 0 0 1 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0.5 0 0.5 0 0.5 0 0 0 1.5 0 3 0.5 0.5 0 0.5 0.5 0 0 0 0 0 0 1 0 5.5 0.5 0 0 1 0 0 0 0 0 2 "RNAseq"
"15" "Aldh-III" 0 0 0 0 0.5 1.5 0 0 0 0 0 0 0.25 0 0 0 0.25 0 1.5 1.25 0 0 0 0 2.25 2.5 0.5 0 0 0 0.25 0 0.25 0 1.25 1.25 0 0 0 0 1 0.25 0 0 0 0 0 0 0 0 0.75 0 0 0 0 0 1.75 0 0 0 0 0 0.25 0 0.75 0 0.5 0 0 0 0.5 0 0 0 0 0.25 1 0.5 3.25 1 0.5 0 0.25 0.75 0.75 0 1 0 0 0 0 0 0 0 0 0 0 0 0.25 0.5 0 0 5.25 4.75 0.75 0 0.25 0 0.5 0 0.25 0 0.25 0.25 0 0.25 0 0 0 0 0.25 0 0.25 0 0.5 0 0 0.5 0.75 0 0.25 0 0.5 0 0 0.25 0.25 0 1 0 0 0 0 0.25 1.25 1 0.25 0.25 0 0 0.5 0 0.75 0 4.25 1.25 0.25 0.5 0.75 0.25 0 0 0.25 0 4 "RNAseq"
"16" "Alh" 0 0 1 0.333 2.333 0.333 0.333 0 0 0 0.333 0 0.333 0 0.333 0 0.333 0 0.667 1.333 0 0 0 0 3.333 2.333 0 0 0 0 0.333 0 0.667 0 4.667 1 0.333 0 0 0 1.667 0.667 0 0 0 0 0 0 0 0 0.667 0 0 0.333 0.333 0.333 0.333 0 0 0 0 0 0 0 0.333 0 0.333 0 1.333 0 0 0 0 0 0.333 0 0.667 0.333 3.333 0 0.667 0 0.667 0.333 0 0 1 0.333 0 0.333 0.333 0 0 0 0 0 0.333 0 0.333 0 0 0 7.333 1.667 0 0 0.333 0 0 0.333 0.667 0 0 0.333 0.333 0 0.333 0 0 0 0 0 0 0 0 0 0.333 0 2.333 0.333 0.667 0 0 0 1 0 0.333 0.333 1.667 0.333 0.333 0 0 0.333 1 0.667 0 0.333 0 0 0 0 0.333 0 9 1 0 0 1 0 0 0 0 0 3 "RNAseq"
"17" "alpha-Est3" 0.5 0 0 0 3.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 1.5 1.5 0 0 0 0 1 0 0 0 0 2 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 1 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 2 1 0.5 0 0.5 0.5 0.5 0 0.5 0.5 0 0 0 0 0 1 0 0 0 0 0 0.5 0 0 5 2.5 0.5 0.5 0 1 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0.5 0 0 1 0 0 0 0 0 0 0.5 0 3.5 4.5 0 0 1 0 0 0 0 0 2 "RNAseq"
"18" "alpha-Est7" 0 0 0 0 1.5 1.5 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0.5 0.5 0 0 0 0 2 2 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 1 0 3.5 0 0 0 1.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0.5 0 0 0.5 1 0 0 0 0 1 0 0.5 0 0 0 0.5 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0.5 0 0 0 0.5 2 1.5 0 0 0 0 0 0 1.5 0 2.5 0.5 0.5 0.5 1.5 0 0.5 0 0 0 2 "RNAseq"
"19" "alpha-Man-I" 0 0 0 0 2.333 1.333 1.667 0 0 0 0 0 0 0 0 0 0 0 1 0.667 0 0 0.333 0 1.333 2.333 0 0 0 0 1 0.667 0.333 0.333 1 0.333 0 0 0 0 0.333 0 0 0 0 0 0.333 0.333 0 0 0.333 0 0 0 0.667 0 0.667 0 0 0 0 0 0.333 0 0 0 0 0 0 0 0.333 0 0 0 0.333 0 1.333 0.333 5 0.333 0.333 0 1.333 1.667 0.333 0 1 0 0 0 0 0 0 0 0 0 0 0.333 0.333 0.333 0 0 6.667 3.333 0 0 0.333 0 1 0.667 0 0 0 0 0.333 0 0 0.333 0 0 0.333 0 0 0 0.667 0 0 0 0.333 0 0.333 0 0 0 0 0 0 0 1 0 0.333 0.333 0 0.333 1.667 1 0 0 0 0 0 0 1.667 0 10.667 0.667 0.333 0 1.667 0.333 0 0 0 0 3 "RNAseq"
"20" "alphaTub84D" 0 0 0 0 1 1.5 0 0 0 0 0.5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0.5 0 0 0 0 1 0 0 0 2.5 1 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 4.5 1 1 1 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 0 0 1.5 1 0 0 9 2.5 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0.5 0.5 0 0 0 0 0 0 0 0.5 0.5 0.5 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 2 1 0.5 0 0.5 0 0 0 0 0 2 "RNAseq"
"21" "Ant2" 0 0 0 0 3 0.333 0 0 0.333 0 0 0 0 0 0.333 0 0 0 1 0 0.333 0 0.333 0 2.333 0.667 0.333 0 0 0 1 0.333 0.667 0 1.333 0.333 0 0 0.333 0 1 0 0.333 0 1 0.333 0 0 0 0 0 0 0.333 0 0 0.333 0.333 0 0 0 0.333 0 0 0 0.333 0 0.333 0 0 0 0 0 0 0 0.333 0 0 0 7.667 0.667 0.333 0 0.667 1.667 0 0 1.667 0.333 0.333 0 0 0 0 0 0 0 0 0 2.667 1 0 0 9.333 3.333 0 0 0 0 0 0 0 0 0 0 0.333 0 1 0 0.667 0 0.333 0 0 0 0.333 0 0 0 0.667 0 0 0 0 0 0.667 0.333 0.333 0.333 0.667 0 0 0 0.333 0.333 1.333 1 0 0 0 0 0 0 1.667 0.333 8.667 0.333 0 0 1 0.333 0 0 0 0 3 "RNAseq"
"22" "aop" 0.222 0 0 0 0.889 0.889 0 0 0.111 0 0.222 0 0.111 0 0.556 0.222 0.222 0 0.778 0.556 0.222 0 0 0 1.778 1.222 0.444 0 0 0.333 0.778 0.222 0.333 0 0.889 0.222 0 0 0 0.111 0.444 0 0 0 0.222 0 0 0 0 0 0.111 0 0 0 0.556 0.111 0.333 0 0.111 0 0 0 0 0 0.444 0.222 0 0 0 0 0.111 0 0 0 0 0 0.222 0.222 3.111 0.111 0.333 0.111 1 0.111 0 0 1 0.222 0.333 0 0 0 0 0 0 0 0 0.111 0.556 0.222 0 0 5.333 1.778 0.111 0 0.333 0.111 0.556 0.111 0 0 0 0 0.444 0 0.444 0 0 0 0.222 0 0.111 0.111 0.667 0.111 0.222 0 0.222 0 0 0 0 0 0.111 0.111 0.222 0.111 0.444 0.111 0.111 0 0.222 0.222 1.111 0.111 0.111 0 0 0 0 0 0.556 0 5.111 0.556 0.889 0 1.222 0.222 0 0 0.222 0 9 "RNAseq"
"23" "ap" 0 0 0 0 1.667 0.667 0 0 0 0 0 0 0 0 0 0 0.333 0 2.333 0.667 0 0 0 0 2.333 0.333 0 0 0.333 0 0.333 0 0 0 1.667 0.333 0 0 0 0 1 0 0 0 0 0 0 0 0.333 0 0.667 0 0 0 0 0 1.333 0 0.333 0.333 0 0 0.667 0 0 0.667 0.667 0 0 0 0 0 0 0 0 0 2 0 3 0 0.333 0 0.667 0 1 0 0.333 0.333 0 0 0.333 0 0.667 0 0 0 0 0 1.667 1 0 0 10.333 1 0 0 1.333 0.333 0.333 0.667 0 0 0 0 0 0 0 0 0 0 0.333 0 0 0 0.333 0 1 0.333 1.667 0 0.667 0 0.667 0 0.667 0 0.667 0 1 0 0 0 0.333 0 0.667 1 0 0 0 0 0 0 0.333 0 2.667 0.667 1.333 0 0.333 0 0.333 0 0 0 3 "RNAseq"
"24" "Arc42" 0.5 0 0 0 2 1 0 0 0 0 0 0 0.5 0 0 0 0 0 1.5 0.5 0 0 0 0 5 3 0.5 0 0.5 0 1 0 0 0 3.5 1.5 0.5 0 0.5 0 0.5 0 0 0 0.5 0 0 0 0 1 0.5 0 0 0 1.5 0 0.5 0.5 0 0.5 0 0 0.5 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 6 2 0.5 0 1 1 0 0 0.5 0 0.5 0 0 0 0 0 0.5 0 0 0 0 1 0 0 16.5 2.5 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0.5 0 0 0 0.5 0 0 0 1.5 0 0.5 0 0 0 0.5 0 0.5 0 0 0 0.5 0 0.5 0 0 0 0 0 0.5 1.5 0.5 0 0 0 0 0 1.5 0 1.5 1.5 0.5 0 2.5 0.5 0.5 0 0 0 2 "RNAseq"
"25" "arm" 0 0 0 0 1.2 1.2 0 0 0.2 0 0.2 0 0.2 0 0.4 0 0 0 0.6 0.4 0 0 0 0 2.6 1 0.2 0 1 0 1.6 0 0.4 0 0.6 0.4 0.4 0 0 0 0.6 0.2 0 0.2 0.2 0 0 0 0 0 0 0 0 0 0.4 0 0.4 0.2 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 3.6 0.6 1.4 0 1 0.4 0 0 0.8 0.2 0.6 0 0.6 0 0 0 0.2 0 0.2 0 0.8 0.2 0 0 4.4 1 0 0 0 0 1 0 0.2 0 0 0 0 0.4 0.4 0 0 0 0.2 0 0 0 0.2 0 0.2 0 0.2 0 0 0 0 0 0 0 0 0.2 1 0.2 0 0.2 0 0.4 0.8 0.2 0.2 0 0 0.2 0 0 1.4 0 6 1.2 0.6 0.2 1 0.4 0.2 0 0.2 0 5 "RNAseq"
"26" "Art3" 0.5 0 0 0 1 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 1.5 0 0 0 0 0 2 0 0.5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 1 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 3.5 0 0.5 0 0.5 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 1 1 0 2.5 1 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 1 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 1 0 0.5 0.5 0 0 0 0 0 0 0 0 2.5 0.5 0.5 0 0 0 0 0 0 0 2 "RNAseq"
"27" "asp" 0 0 1 0 4 0 1 0 0 0 0 1 1 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 4 0 1 0 0 0 14 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 6 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 1 0 0 1 1 0 0 0 0 0 0 0 3 1 4 0 1 0 0 0 0 0 0 0 4 0 4 0 2 0 0 0 1 0 1 "RNAseq"
